country,confirmed,death,recovered,active,population,recovery_rate,population_mi
Afghanistan,39693,1472,33058,5163,38041754,0.8328420628322374,38
Albania,15066,413,9304,5349,2854191,0.6175494490906678,2.9
Algeria,52804,1789,37067,13948,43053054,0.7019733353533824,43.1
Andorra,2696,55,1814,827,77142,0.6728486646884273,0.1
Angola,6031,212,2685,3134,31825295,0.44519980102802187,31.8
Antigua and Barbuda,111,3,97,11,97118,0.8738738738738738,0.1
Argentina,871468,23225,697141,151102,44938712,0.7999616738652481,44.9
Armenia,55087,1010,45528,8549,2957731,0.8264744858133498,3
Australia,27244,897,24987,1360,25364307,0.9171560710615181,25.4
Austria,53188,842,42039,10307,8877067,0.7903850492592314,8.9
Azerbaijan,41519,605,39129,1785,10023318,0.9424359931597582,10
Bahamas,4713,102,2607,2004,389482,0.5531508593252705,0.4
Bahrain,74860,271,70406,4183,1641172,0.9405022709056906,1.6
Bangladesh,375870,5477,289912,80481,163046161,0.7713092292547955,163
Barbados,204,7,182,15,287025,0.8921568627450981,0.3
Belarus,82471,885,76543,5043,9466856,0.9281201877023438,9.5
Belgium,148981,10151,20072,118758,11484055,0.1347285895516878,11.5
Belize,2427,35,1487,905,390353,0.6126905644829007,0.4
Benin,2411,41,1973,397,11801151,0.8183326420572377,11.8
Bhutan,306,0,282,24,763092,0.9215686274509803,0.8
Bolivia,138226,8262,100347,29617,11513100,0.725963277531,11.5
Bosnia and Herzegovina,29917,926,23241,5750,3301000,0.7768492830163453,3.3
Botswana,3219,18,834,2367,2303697,0.2590866728797763,2.3
Brazil,5055888,149639,4502854,403395,211049527,0.8906158522498916,211
Brunei,146,3,143,0,433285,0.9794520547945206,0.4
Bulgaria,23871,887,15713,7271,6975761,0.6582464077751247,7
Burkina Faso,2254,60,1516,678,20321378,0.6725820763087844,20.3
Myanmar,23906,566,6738,16602,54045420,0.28185392788421315,54
Burundi,515,1,472,42,11530580,0.916504854368932,11.5
Cabo Verde,6809,73,5932,804,549935,0.8711998825084447,0.5
Cambodia,283,0,277,6,16486542,0.9787985865724381,16.5
Cameroon,21203,423,20117,663,25876380,0.9487808329010046,25.9
Canada,180625,9638,152046,NA,37589262,0.8417771626297578,37.6
Central African Republic,4853,62,1914,2877,4745185,0.39439521945188544,4.7
Chad,1274,90,1102,82,15946876,0.8649921507064364,15.9
Chile,477769,13220,450297,NA,18952038,0.942499408710067,19
China,90751,4739,85641,371,1397715000,0.9436920805280382,1397.7
Colombia,894300,27495,780547,86258,50339443,0.8728021916582802,50.3
Comoros,495,7,475,13,850886,0.9595959595959596,0.9
"Congo, Rep.",5118,90,3887,1141,5380508,0.7594763579523252,5.4
"Congo, Dem. Rep.",10835,276,10242,317,86790567,0.945269958467928,86.8
Costa Rica,86053,1055,52327,32671,5047561,0.6080787421705228,5
Cote d'Ivoire,20036,120,19696,220,25716544,0.9830305450189658,25.7
Croatia,19446,313,16695,2438,4067500,0.8585313174946004,4.1
Cuba,5943,123,5398,422,11333483,0.9082954736664984,11.3
Cyprus,1951,25,1369,557,1198575,0.7016914402870323,1.2
Czech Republic,109374,905,53173,55296,10669709,0.48615758772651635,10.7
Denmark,32131,665,25975,5491,5818553,0.8084093243285301,5.8
Djibouti,5423,61,5355,7,973560,0.987460815047022,1
Dominica,32,0,24,8,71808,0.75,0.1
Dominican Republic,117457,2165,93061,22231,10738958,0.7922984581591561,10.7
Ecuador,145848,12175,120511,13162,17373662,0.8262780428939718,17.4
Egypt,104262,6029,97592,641,100388073,0.9360265485028102,100.4
El Salvador,29951,881,24995,4075,6453553,0.8345297318954292,6.5
Equatorial Guinea,5063,83,4894,86,1355986,0.9666205806833893,1.4
Estonia,3809,68,2906,835,1326590,0.7629299028616435,1.3
Eswatini,5644,113,5254,277,1148130,0.9309000708717222,1.1
Ethiopia,82662,1271,37102,44289,112078730,0.4488398538627181,112.1
Fiji,32,2,28,2,889953,0.875,0.9
Finland,11580,346,8500,2734,5520314,0.7340241796200345,5.5
France,732434,32601,103232,596601,67059887,0.14094375738974432,67.1
Gabon,8835,54,8189,592,2172579,0.9268817204301075,2.2
Gambia,3621,117,2489,1015,2347706,0.6873791770229218,2.3
Georgia,10752,72,5866,4814,3720382,0.5455729166666666,3.7
Germany,320495,9599,273718,37178,83132799,0.8540476450490647,83.1
Ghana,46987,306,46378,303,30417856,0.9870389682252538,30.4
Greece,21772,431,1347,19994,10716322,0.06186845489619695,10.7
Grenada,24,0,24,0,112003,1,0.1
Guatemala,96935,3356,85343,8236,16604026,0.8804147108887399,16.6
Guinea,10954,68,10265,621,12771246,0.9371006025196276,12.8
Guinea-Bissau,2385,40,1728,617,1920922,0.7245283018867924,1.9
Guyana,3358,100,2180,1078,782766,0.6491959499702203,0.8
Haiti,8854,230,7013,1611,11263077,0.7920713801671561,11.3
Honduras,82552,2492,31736,48324,9746117,0.3844364764027522,9.7
Hungary,35222,913,9202,25107,9769949,0.2612571688149452,9.8
Iceland,3373,10,2448,915,361313,0.7257634153572488,0.4
India,6979423,107416,5988822,883185,1366417754,0.8580683532148717,1366.4
Indonesia,324658,11677,247667,65314,270625568,0.7628550659463189,270.6
Iran,492378,28098,401379,62901,82913906,0.8151846751885746,82.9
Iraq,397780,9735,328097,59948,39309783,0.8248202524008246,39.3
Ireland,40703,1821,23364,15518,4941444,0.5740117436061224,4.9
Israel,287858,1886,225248,60724,9053300,0.7824969255674673,9.1
Italy,343770,36111,237549,70110,60297396,0.6910114320621346,60.3
Jamaica,7363,132,3102,4129,2948279,0.4212956675268233,2.9
Japan,88267,1623,80140,NA,126264931,0.9079270848675043,126.3
Jordan,22763,166,5906,16691,10101694,0.2594561349558494,10.1
Kazakhstan,108663,1746,103910,3007,18513930,0.9562592602817886,18.5
Kenya,40620,755,31876,7989,52573973,0.7847365829640571,52.6
"Korea, Rep.",24548,430,22624,1494,51709098,0.9216229428059313,51.7
Kuwait,110076,649,102024,7403,4207083,0.9268505396271667,4.2
Kyrgyz Republic,48617,1077,44097,3443,6456900,0.9070284057017093,6.5
Laos,23,0,22,1,7169455,0.9565217391304348,7.2
Latvia,2507,40,1322,1145,1912789,0.5273234942161946,1.9
Lebanon,51170,450,22407,28313,6855713,0.43789329685362516,6.9
Lesotho,1800,42,926,832,2125268,0.5144444444444445,2.1
Liberia,1360,82,1245,33,4937374,0.9154411764705882,4.9
Libya,41368,621,23453,17294,6777452,0.566935795784181,6.8
Liechtenstein,139,1,117,21,38019,0.841726618705036,0
Lithuania,5758,103,2722,2933,2786844,0.47273358805140675,2.8
Luxembourg,9360,130,8038,1192,619896,0.8587606837606837,0.6
Madagascar,16676,237,15975,464,26969307,0.9579635404173663,27
Malawi,5813,180,4631,1002,18628747,0.7966626526750387,18.6
Malaysia,14722,152,10707,3863,31949777,0.7272789023230539,31.9
Maldives,10808,34,9654,1120,530953,0.8932272390821614,0.5
Mali,3248,131,2514,603,19658031,0.7740147783251231,19.7
Malta,3581,41,2915,625,502653,0.814018430605976,0.5
Mauritania,7548,163,7245,140,4525696,0.9598569157392687,4.5
Mauritius,395,10,358,27,1265711,0.9063291139240506,1.3
Mexico,810020,83497,687123,39363,127575529,0.8482790548381521,127.6
Moldova,60833,1442,43489,15902,2657637,0.71489158844706,2.7
Monaco,233,2,209,22,38964,0.8969957081545065,0
