country,confirmed,death,recovered,active,population
Afghanistan,39254,1458,32746,5050,38041754
Albania,13518,384,7732,5402,2854191
Algeria,51368,1726,36063,13579,43053054
Andorra,1966,53,1265,648,77142
Angola,4905,179,1833,2893,31825295
Antigua and Barbuda,101,3,92,6,97118
Argentina,736609,16519,585857,134233,44938712
Armenia,49901,958,43849,5094,2957731
Australia,27078,886,24752,1440,25364307
Austria,44041,796,34916,8329,8877067
Azerbaijan,40119,590,37827,1702,10023318
Bahamas,3903,91,2072,1740,389482
Bahrain,70422,246,64267,5909,1641172
Bangladesh,362043,5219,273698,83126,163046161
Barbados,190,7,178,5,287025
Belarus,78260,828,74320,3112,9466856
Belgium,117115,10001,19386,87728,11484055
Belize,1891,24,1208,659,390353
Benin,2340,40,1960,340,11801151
Bhutan,281,0,219,62,763092
Bolivia,134641,7931,94895,31815,11513100
Bosnia and Herzegovina,27226,843,20322,6061,3301000
Botswana,3172,16,710,2446,2303697
Brazil,4777522,142921,4237152,397449,211049527
Brunei,146,3,142,1,433285
Bulgaria,20547,813,14489,5245,6975761
Burkina Faso,2032,58,1309,665,20321378
Myanmar,12425,284,3391,8750,54045420
Burundi,506,1,472,33,11530580
Cabo Verde,5900,59,5228,613,549935
Cambodia,277,0,275,2,16486542
Cameroon,20838,418,19440,980,25876380
Canada,158991,9340,135765,NA,37589262
Central African Republic,4806,62,1840,2904,4745185
Chad,1193,85,1007,101,15946876
Chile,461300,12725,434794,NA,18952038
China,90528,4739,85423,366,1397715000
Colombia,824042,25828,734154,64060,50339443
Comoros,479,7,464,8,850886
"Congo, Rep.",5008,89,3887,1032,5380508
"Congo, Dem. Rep.",10631,272,10129,230,86790567
Costa Rica,74604,880,30703,43021,5047561
Cote d'Ivoire,19669,120,19241,308,25716544
Croatia,16380,275,14947,1158,4067500
Cuba,5531,122,4866,543,11333483
Cyprus,1743,22,1369,352,1198575
Czech Republic,67843,636,32759,34448,10669709
Denmark,27941,650,20762,6529,5818553
Djibouti,5416,61,5344,11,973560
Dominica,30,0,24,6,71808
Dominican Republic,111900,2101,86998,22801,10738958
Ecuador,135749,11312,112296,12141,17373662
Egypt,103079,5914,96094,1071,100388073
El Salvador,28981,839,23685,4457,6453553
Equatorial Guinea,5030,83,4769,178,1355986
Estonia,3315,64,2564,687,1326590
Eswatini,5462,108,4859,495,1148130
Ethiopia,74584,1191,30952,42441,112078730
Fiji,32,2,28,2,889953
Finland,9892,345,7850,1697,5520314
France,590021,31908,98088,460025,67059887
Gabon,8752,54,7955,743,2172579
Gambia,3579,112,2161,1306,2347706
Georgia,5866,36,2324,3506,3720382
Germany,290471,9483,255212,25776,83132799
Ghana,46482,301,45651,530,30417856
Greece,18123,388,1347,16388,10716322
Grenada,24,0,24,0,112003
Guatemala,90968,3238,79654,8076,16604026
Guinea,10634,66,9960,608,12771246
Guinea-Bissau,2324,39,1549,736,1920922
Guyana,2846,78,1644,1124,782766
Haiti,8740,227,6757,1756,11263077
Honduras,76098,2323,27383,46392,9746117
Hungary,25567,757,5173,19637,9769949
Iceland,2695,10,2162,523,361313
India,6225763,97497,5187825,940441,1366417754
Indonesia,282724,10601,210437,61686,270625568
Iran,453637,25986,378727,48924,82913906
Iraq,358290,9122,288812,60356,39309783
Ireland,35740,1803,23364,10573,4941444
Israel,236926,1528,167804,67594,9053300
Italy,313011,35875,226506,50630,60297396
Jamaica,6408,101,1770,4537,2948279
Japan,83022,1568,74962,6492,126264931
Jordan,10049,57,4496,5496,10101694
Kazakhstan,107908,1725,102874,3309,18513930
Kenya,38378,707,24740,12931,52573973
"Korea, Rep.",23812,413,21590,1809,51709098
Kuwait,104568,607,96049,7912,4207083
Kyrgyz Republic,46522,1064,42761,2697,6456900
Laos,23,0,22,1,7169455
Latvia,1729,37,1307,385,1912789
Lebanon,38377,361,17110,20906,6855713
Lesotho,1576,35,873,668,2125268
Liberia,1343,82,1221,40,4937374
Libya,34014,540,18902,14572,6777452
Liechtenstein,118,1,113,4,38019
Lithuania,4587,92,2349,2146,2786844
Luxembourg,8431,124,7136,1171,619896
Madagascar,16377,229,15139,1009,26969307
Malawi,5772,179,4245,1348,18628747
Malaysia,11135,134,9939,1062,31949777
Maldives,10194,34,9037,1123,530953
Mali,3101,131,2443,527,19658031
Malta,3035,34,2484,517,502653
Mauritania,7488,161,7111,216,4525696
Mauritius,367,10,343,14,1265711
Mexico,738163,77163,625512,35488,127575529
Moldova,52029,1310,38579,12140,2657637
Monaco,214,2,178,34,38964
Mongolia,313,0,305,8,3225167
Montenegro,10575,164,7002,3409,622137
Morocco,121183,2152,100253,18778,36471769
Mozambique,8556,59,5205,3292,30366036
Namibia,11140,121,8937,2082,2494530
Nepal,76258,491,55371,20396,28608710
Netherlands,122620,6443,3919,112258,17332850
New Zealand,1836,25,1767,44,4917000
Nicaragua,5170,151,2913,2106,6545502
